App Name,API Product,API Proxy
BDOPay-Prod,BDO-Digital-PROD1,BillsPaymentTransactionsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-Login-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-DeviceRegistration-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-2-Way-SMS-v0
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-ForgotPassword-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-ChangePassword-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-Login2FA-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-UserAttributes-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-Logout-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-UserRegistrations-v1
BDOPay-Prod,BDO-Digital-PROD,TDAccounts-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-AccountsSignUpCASA-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-CasaVerifications-v1
BDOPay-Prod,BDO-Digital-PROD,CasaAccounts-v2
BDOPay-Prod,BDO-Digital-PROD,CasaAccounts-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-CreditCardAccountsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,LoanAccounts-v1
BDOPay-Prod,BDO-Digital-PROD,TimeDepositAccounts-v1
BDOPay-Prod,BDO-Digital-PROD,CasaAccountsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-AccountsSignUpCreditCard-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-CreditCardVerifications-v1
BDOPay-Prod,BDO-Digital-PROD,ApiBanking-CreditCardAccountsTokenized-v2
BDOPay-Prod,BDO-Digital-PROD,CreditCardAccounts-v1
BDOPay-Prod,BDO-Digital-PROD,CreditCardAccountsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyImmediateRequestTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyImmediateTransactionsTokenized-v1
BDOPay-Prod,BDO-Digital-PROD,SendMoneyBDO
