App Name,API Product,Environments,API Proxy
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-AccountsSignUpCASA-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-AccountsSignUpCreditCard-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-UserRegistrations-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CreditCardAccounts-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",commSigBalanceInq-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-AtmQr-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CreditCardAccounts-v4
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CreditCardAccounts-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",Login-ExternalRefresh-poc
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",SendMoneyScheduled-v2-1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",QrProcessor-v4
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",RefreshTokenImport-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CreditCardAccountsTokenized-v4
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CreditCardAccountsTokenized-v2
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CreditCardAccountsTokenized-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentScheduledTransactions-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",PrepaidMobileReloadScheduled-v1
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",ApiBanking-CreditCardAccountsTokenized-v6
NDBWEBSTG,BDOPay2-BB-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-2,ext-uat-3,ext-uat-4,ext-uat-5,ext-uat-6,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",CreditCardAccounts-v6
NDBWEBSTG,CreditCard-ESOA-UAT,ext-stg-edge-1,CreditCard-eSOA-Tokenized-v1
NDBWEBSTG,StopPaymentOrder-v1,"ext-dev-2,ext-sit-1,ext-sit-2,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5,ext-sit-others-1,ext-sit-others-2,ext-sit-others-3,ext-stg-edge-1,ext-uat-edge-9",StopPaymentOrder-v1
NDBWEBSTG,CheckBookReOrder-v1,"ext-dev-3,ext-sit-1,ext-sit-2,ext-sit-edge-1,ext-sit-edge-2,ext-sit-edge-3,ext-sit-edge-4,ext-sit-edge-5,ext-sit-others-1,ext-sit-others-2,ext-sit-others-3,ext-stg-edge-1,ext-uat-edge-9",CheckBookReOrder-v1
NDBWEBSTG,ViewingOfAccounts,"ext-stg-edge-1,ext-uat-edge-6",CasaAccounts-v3
NDBWEBSTG,ViewingOfAccounts,"ext-stg-edge-1,ext-uat-edge-6",LoanAccounts-v2
NDBWEBSTG,ViewingOfAccounts,"ext-stg-edge-1,ext-uat-edge-6",TDAccounts-v2
NDBWEBSTG,ViewingOfAccounts,"ext-stg-edge-1,ext-uat-edge-6",ApiBanking-CreditCardAccountsTokenized-v5
NDBWEBSTG,MPS-RegisterCustomerService-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-4,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9,ext-uat-others-1,ext-uat-others-2,ext-uat-others-3",Retail-MPS-RegisterCustomerService-V1
NDBWEBSTG,MPS-RegisterCustomerService-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-4,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9,ext-uat-others-1,ext-uat-others-2,ext-uat-others-3",Retail-MPS-RegisterCustomerService-V1
NDBWEBSTG,MPS-RegisterCustomerService-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-4,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9,ext-uat-others-1,ext-uat-others-2,ext-uat-others-3",Retail-MPS-RegisterCustomerService-V1
NDBWEBSTG,MPS-RegisterCustomerService-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-4,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9,ext-uat-others-1,ext-uat-others-2,ext-uat-others-3",Retail-MPS-RegisterCustomerService-V1
NDBWEBSTG,MPS-RegisterCustomerService-UAT,"ext-stg-edge-1,ext-uat-1,ext-uat-4,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9,ext-uat-others-1,ext-uat-others-2,ext-uat-others-3",Retail-BRS_R-ApiBanking_Login-V1
NDBWEBSTG,BillsPayScheduled-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentScheduledTransactions-v1
NDBWEBSTG,BillsPayScheduled-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentScheduledTransactions-v2
NDBWEBSTG,BillsPayScheduled-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaySearch-v0
NDBWEBSTG,BillsPayScheduled-UAT,"ext-stg-edge-1,ext-uat-edge-1,ext-uat-edge-10,ext-uat-edge-2,ext-uat-edge-3,ext-uat-edge-4,ext-uat-edge-5,ext-uat-edge-6,ext-uat-edge-7,ext-uat-edge-8,ext-uat-edge-9",BillsPaymentScheduledRequest-v2
NDBWEBSTG,SendMoneyInstapayScheduled,"ext-stg-edge-1,ext-uat-edge-7",SendMoneyInstapayScheduledRequest-v1
NDBWEBSTG,SendMoneyInstapayScheduled,"ext-stg-edge-1,ext-uat-edge-7",SendMoneyInstapayScheduled-v1
NDBWEBSTG,SendMoneyUSDToPHPImmediate,ext-stg-edge-1,SendMoneyUSDToPHP-v1
